,Hotel_Names,Distance,Address,City,Ratings,Votes,Prices,Features
122,Capital O 36457 Boulevard Madiwala,5.5 km,B t m Layout,['Bangalore'],4.3,['2216'],1063, Reception  Free Wi-Fi  Power backup  
123,OYO 10522 Varcity Emerald,6.2 km,"Near KEB Colony, BTM Layout 1",['Bangalore'],3.7,['1847'],733, Free Wi-Fi  Geyser  Power backup  
124,OYO 10293 Rajmahal Comforts,7.9 km,"Near Maha Bazar, New Bel Road",['Bangalore'],3.2,['457'],676, Parking facility  Reception  Free Wi-Fi  
125,OYO Townhouse 273 Hosur Main Road Bommanahalli,8.4 km,"Near krishna Theature Bommanahalli, Hosur main road",['Bangalore'],4.5,['1916'],1322, Hair Dryer  Parking facility  Reception  
126,Capital O 62949 Regal Suites,4.8 km,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar",['Bangalore'],4.0,['1125'],711, Free Wi-Fi  Geyser  CCTV cameras  
127,Flagship 700311 S M Residency,8.1 km,Nagarbhavi,['Bangalore'],3.0,['138'],593, Reception  Free Wi-Fi  Power backup  
128,SPOT ON 71449 Ssr Lodging And Boarding,2.1 km,"Near Jumma masjid, Shivaji Nagar",['Bangalore'],3.5,['274'],573, Reception  Free Wi-Fi  Card payment  
129,OYO 37297 N R Deluxe,8.2 km,Near Prashant Hospital,['Bangalore'],3.3,['119'],687, Parking facility  Reception  Free Wi-Fi  
130,OYO 62942 The Royal International Hotel,8.8 km,"Near Robert Bosch Company, Mangammanapalya",['Bangalore'],4.2,['367'],839, Parking facility  Private entrance  Reception  
131,Collection O BLR2460 Sln Suites,7.2 km,"Behind Baptist Hospital, Hebbal",[],3.5,['261'],550, Doctor on call  Reception  Ticket tour assistance  
132,OYO 87278 Royal Grand Residency,2.5 km,Bangalore Karnataka,"['Bangalore', 'Bangalore']",3.6,['470'],692, Parking facility  Free Wi-Fi  Power backup  
133,Capital O 73831 N R Comforts,5.1 km,Koramangala,['Bangalore'],3.6,['165'],846, Parking facility  Free Wi-Fi  Power backup  
134,Flagship 18338 White Fort,2.6 km,"Dispensary Rd, Kalasipalya,Bangalore",['Bangalore'],3.9,['1235'],695, Parking facility  Reception  Caretaker  
135,OYO 91325 Nr Royal,7.1 km,"Sector 6, HSR Layout Ward, Bommanahalli Zone, Bengaluru South Urban, Karnataka","['Bangalore', 'Bangalore']",3.3,['190'],576, Hair Dryer  Free Wi-Fi  AC  
136,OYO 71720 Hotel Fiesta Grand,3.4 km,"Near Mariyappa Road, Jayanagar Ward",['Bangalore'],3.4,['287'],692, Free Wi-Fi  AC  TV 
137,OYO Townhouse 180 Jayanagar,4.8 km,"Near Sagar Hospital, Tilak Nagar",['Bangalore'],4.5,['3187'],1520, AC  TV 
138,Capital O 68975 The Blueberry's,4.2 km,7th Block,['Bangalore'],3.7,['820'],913, Parking facility  Reception  Free Wi-Fi  
139,OYO 23032 New Hotel Mayur Paradise,7.1 km,Near Shamaro Vittal Co-Operative Bank,['Bangalore'],3.5,['118'],550, Doctor on call  Parking facility  Reception  
140,Capital O 82296 Safari  Rooms,6.0 km,India Bangalore KarnatakaIndia,"['Bangalore', 'Bangalore']",3.6,['86'],687, Parking facility  Elevator  Free Wi-Fi  
141,OYO 9251 Nar Comforts,2.1 km,"NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet",['Bangalore'],3.9,['1559'],962, Elevator  Free Wi-Fi  Geyser  
142,Capital O 12543 3 Square,8.0 km,"Next to Cafe Coffee Day, HBR Layout",['Bangalore'],4.0,['1293'],983, Elevator  Free Wi-Fi  Geyser  
143,OYO 15695 Varcity Comforts,5.6 km,B t m Layout,['Bangalore'],3.9,['1463'],936, Hair Dryer  Reception  Free Wi-Fi  
144,OYO BLR2467 Urban Inn,6.9 km,Near Mosque And Above Canara Bank,['Bangalore'],4.4,['1144'],1319, Reception  Free Wi-Fi  Power backup  
145,OYO 76339 Sai Orchid ,7.5 km,West Zone,['Bangalore'],3.4,['88'],546, Elevator  Free Wi-Fi  Geyser  
146,OYO Flagship 15776 V R Residency,8.0 km,"Centrally Located, Near 4th block, HBR Layout",['Bangalore'],2.7,['122'],621, Parking facility  Reception  Free Wi-Fi  
147,Collection O 77217 Amazing Inn,4.6 km,Bhuvanappa Layout,['Bangalore'],3.8,['734'],1188, Reception  Free Wi-Fi  Security  
148,Capital O 700595 Elite Stay Jp Nagar,7.8 km,6th Phase,['Bangalore'],3.1,['521'],930, Elevator  Free Wi-Fi  Power backup  
149,OYO Townhouse 82047 Srk Live Inn Castle,4.5 km,Bangalore Urban,"['Bangalore', 'Bangalore']",3.8,['962'],1308, Doctor on call  Hair Dryer  Parking facility  
150,Flagship 81248 Blooms Residency,8.0 km,Bangalore East,"['Bangalore', 'Bangalore']",4.3,['942'],879, Parking facility  Free Wi-Fi  CCTV cameras  
151,OYO Home 78310 Crystal Inn,7.9 km,Bilekahalli,['Bangalore'],3.9,['1131'],699, Elevator  Free Wi-Fi  Geyser  
152,Collection O 701280 Unique Sharavanys,9.9 km,Bda Layout Btm 4th Stage,['Bangalore'],3.4,['26'],550, Parking facility  Free Wi-Fi  Power backup  
153,Collection O 26188 Domus Regency,8.0 km,"Near Swastha Restaurant, Vijay Nagar",['Bangalore'],5.0,['23'],1257, AC  TV  Mini Fridge  
154,OYO 852 Kings 10,6.0 km,"Centrally Located, Near, HMT Layout Bus Stop, R.T.Nagar",['Bangalore'],4.2,['493'],1320, Reception  Caretaker  Bedside Table / Desk  
155,OYO 79381 Dm Residency,9.2 km,Rajarajeshwari Nagar Zone,['Bangalore'],3.6,['205'],562, Free Wi-Fi  Power backup  CCTV cameras  
156,Capital O 75993 Hotel Shanti Nivas,8.3 km,"Near Yeshwanthpur , Sri Raghavendra Layout",['Bangalore'],4.3,['1149'],905, TV 
157,SPOT ON 73621 Srinivasa Boarding And Lodging,8.5 km,"Near N R Colony, Sajjepalya",['Bangalore'],3.3,['321'],608, Free Wi-Fi  Power backup  Security  
158,Townhouse OAK Hotel Prime,8.2 km,"Near Karnataka Bank, Babusapalya Main Road",['Bangalore'],4.5,['1189'],1677, Reception  Free Wi-Fi  Power backup  
159,OYO 62331 Gn Collection O,6.3 km,"Centrally Located, Near A D Halli Park, Housing Board",['Bangalore'],3.9,['685'],934, Free Wi-Fi  TV  TV  
160,Capital O 432 Hotel Victoria Heights,2.1 km,"Near St.Philomena's Hospital, Xavier Layout",['Bangalore'],3.9,['915'],1165, Parking facility  Doctor on call  Reception  
161,SPOT ON 80454 Janapriya Lodge,7.0 km,Bangalore Urban,"['Bangalore', 'Bangalore']",3.7,['435'],774, Hair Dryer  Reception  Free Wi-Fi  
162,OYO 80376 Santa Maria,6.8 km,Jeevan Bhima Nagar,['Bangalore'],3.8,['680'],965, Parking facility  Reception  Free Wi-Fi  
163,Capital O 46356 White Mg,2.6 km,"Near INOX Lido Mall, Ulsoor",['Bangalore'],4.5,['92'],3604, Parking facility  Reception  Free Wi-Fi  
164,Collection O 2318 Hotel Palm Emirates,4.8 km,Tavarekere Main Rd,['Bangalore'],3.9,['858'],956, Parking facility  Reception  Free Wi-Fi  
165,Townhouse OAK Clove Boutique Hotel Rajaji Nagar,4.0 km,"4th Block, Rajaji Nagar",['Bangalore'],4.6,['1390'],2492, Parking facility  Private entrance  Elevator  
166,OYO Home 81332 Shiva Shakthi Inn,7.8 km,J P Nagar,['Bangalore'],3.9,['1436'],699, Parking facility  Reception  Free Wi-Fi  
167,Collection O 31939 CTC Gardenia Residency,2.0 km,India - ,['Bangalore'],5.0,['90'],1658, Parking facility  Reception  Free Wi-Fi  
168,OYO 9605 Hotel Golden Inn,2.0 km,"Centrally Located, Near HKP Road, Shivaji Nagar",['Bangalore'],3.7,['1547'],827, Parking facility  Elevator  Free Wi-Fi  
169,Capital O 87938 Royal Manyata,9.4 km,Gate Number 4,['Bangalore'],4.2,['773'],673, Reception  Ticket tour assistance  Designated smoking area  
170,Flagship 92604 Sp Residency,6.7 km,Btm 2nd Stage,['Bangalore'],2.0,['87'],685, Free Wi-Fi  TV  AC 
