Hotel_Names,Distance,Address,City,Ratings,Votes,Prices,Features
OYO Townhouse 364 Richmond Road,1,"Near Baldwin Women College, Richmond Town, Bengaluru",Bangalore,4.2,1673,1829, Reception  Free Wi-Fi  Power backup  
Capital O 70156 Victorian Comforts,2.4,"Near Adams Creation, Victoria Layout",Bangalore,4,1312,1435, Parking facility  Free Wi-Fi  Power backup  
Flagship 18338 White Fort,2.6,"Dispensary Rd, Kalasipalya,Bangalore",Bangalore,3.9,1235,695, Free Wi-Fi  Power backup  Card payment  
OYO 12761 High Street,1.8,Near Kalyan silks commercial street,Bangalore,4.4,543,1362, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse 273 Hosur Main Road Bommanahalli,8.4,"Near krishna Theature Bommanahalli, Hosur main road",Bangalore,4.5,1916,1322, Parking facility  Elevator  Free Wi-Fi  
OYO 9251 Nar Comforts,2.1,"NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet",Bangalore,3.9,1559,962, AC  TV 
Capital O 68975 The Blueberry's,4.2,7th Block,Bangalore,3.7,820,913, TV  Parking facility  Reception  
SPOT ON 80165 S3 Comforts,8.1,Diagonally Opp Sri Krishna Nandagokula Hotel,Bangalore,3.7,280,571, Hair Dryer  Parking facility  Free Wi-Fi  
Flagship 11640 Hotel Aaira Inn,6.7,"Near Uttam Sagar, Banaswadi main road",Bangalore,4.2,1227,948, Private entrance  Reception  Free Wi-Fi  
Capital O 36457 Boulevard Madiwala,5.5,B t m Layout,Bangalore,4.3,2216,1063, Reception  Free Wi-Fi  Power backup  
OYO 10522 Varcity Emerald,6.2,"Near KEB Colony, BTM Layout 1",Bangalore,3.7,1847,733, Free Wi-Fi  Geyser  Power backup  
OYO 10293 Rajmahal Comforts,7.9,"Near Maha Bazar, New Bel Road",Bangalore,3.2,457,676, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse 273 Hosur Main Road Bommanahalli,8.4,"Near krishna Theature Bommanahalli, Hosur main road",Bangalore,4.5,1916,1322, Hair Dryer  Parking facility  Reception  
Capital O 62949 Regal Suites,4.8,"Centrally Located, Near Sagar Hospital, Hombegowda Nagar",Bangalore,4,1125,711, Free Wi-Fi  Geyser  CCTV cameras  
Flagship 700311 S M Residency,8.1,Nagarbhavi,Bangalore,3,138,593, Reception  Free Wi-Fi  Power backup  
SPOT ON 71449 Ssr Lodging And Boarding,2.1,"Near Jumma masjid, Shivaji Nagar",Bangalore,3.5,274,573, Reception  Free Wi-Fi  Card payment  
OYO 37297 N R Deluxe,8.2,Near Prashant Hospital,Bangalore,3.3,119,687, Parking facility  Reception  Free Wi-Fi  
OYO 62942 The Royal International Hotel,8.8,"Near Robert Bosch Company, Mangammanapalya",Bangalore,4.2,367,839, Parking facility  Private entrance  Reception  
Collection O BLR2460 Sln Suites,7.2,"Behind Baptist Hospital, Hebbal",Bangalore,3.5,261,550, Doctor on call  Reception  Ticket tour assistance  
OYO 87278 Royal Grand Residency,2.5,Bangalore Karnataka,Bangalore,3.6,470,692, Parking facility  Free Wi-Fi  Power backup  
Capital O 73831 N R Comforts,5.1,Koramangala,Bangalore,3.6,165,846, Parking facility  Free Wi-Fi  Power backup  
Flagship 18338 White Fort,2.6,"Dispensary Rd, Kalasipalya,Bangalore",Bangalore,3.9,1235,695, Parking facility  Reception  Caretaker  
OYO 91325 Nr Royal,7.1,"Sector 6, HSR Layout Ward, Bommanahalli Zone, Bengaluru South Urban, Karnataka",Bangalore,3.3,190,576, Hair Dryer  Free Wi-Fi  AC  
OYO 71720 Hotel Fiesta Grand,3.4,"Near Mariyappa Road, Jayanagar Ward",Bangalore,3.4,287,692, Free Wi-Fi  AC  TV 
OYO Townhouse 180 Jayanagar,4.8,"Near Sagar Hospital, Tilak Nagar",Bangalore,4.5,3187,1520, AC  TV 
Capital O 68975 The Blueberry's,4.2,7th Block,Bangalore,3.7,820,913, Parking facility  Reception  Free Wi-Fi  
OYO 23032 New Hotel Mayur Paradise,7.1,Near Shamaro Vittal Co-Operative Bank,Bangalore,3.5,118,550, Doctor on call  Parking facility  Reception  
Capital O 82296 Safari  Rooms,6,India Bangalore KarnatakaIndia,Bangalore,3.6,86,687, Parking facility  Elevator  Free Wi-Fi  
OYO 9251 Nar Comforts,2.1,"NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet",Bangalore,3.9,1559,962, Elevator  Free Wi-Fi  Geyser  
Capital O 12543 3 Square,8,"Next to Cafe Coffee Day, HBR Layout",Bangalore,4,1293,983, Elevator  Free Wi-Fi  Geyser  
OYO 15695 Varcity Comforts,5.6,B t m Layout,Bangalore,3.9,1463,936, Hair Dryer  Reception  Free Wi-Fi  
OYO BLR2467 Urban Inn,6.9,Near Mosque And Above Canara Bank,Bangalore,4.4,1144,1319, Reception  Free Wi-Fi  Power backup  
OYO 76339 Sai Orchid ,7.5,West Zone,Bangalore,3.4,88,546, Elevator  Free Wi-Fi  Geyser  
OYO Flagship 15776 V R Residency,8,"Centrally Located, Near 4th block, HBR Layout",Bangalore,2.7,122,621, Parking facility  Reception  Free Wi-Fi  
Collection O 77217 Amazing Inn,4.6,Bhuvanappa Layout,Bangalore,3.8,734,1188, Reception  Free Wi-Fi  Security  
Capital O 700595 Elite Stay Jp Nagar,7.8,6th Phase,Bangalore,3.1,521,930, Elevator  Free Wi-Fi  Power backup  
OYO Townhouse 82047 Srk Live Inn Castle,4.5,Bangalore Urban,Bangalore,3.8,962,1308, Doctor on call  Hair Dryer  Parking facility  
Flagship 81248 Blooms Residency,8,Bangalore East,Bangalore,4.3,942,879, Parking facility  Free Wi-Fi  CCTV cameras  
OYO Home 78310 Crystal Inn,7.9,Bilekahalli,Bangalore,3.9,1131,699, Elevator  Free Wi-Fi  Geyser  
Collection O 701280 Unique Sharavanys,9.9,Bda Layout Btm 4th Stage,Bangalore,3.4,26,550, Parking facility  Free Wi-Fi  Power backup  
Collection O 26188 Domus Regency,8,"Near Swastha Restaurant, Vijay Nagar",Bangalore,5,23,1257, AC  TV  Mini Fridge  
OYO 852 Kings 10,6,"Centrally Located, Near, HMT Layout Bus Stop, R.T.Nagar",Bangalore,4.2,493,1320, Reception  Caretaker  Bedside Table / Desk  
OYO 79381 Dm Residency,9.2,Rajarajeshwari Nagar Zone,Bangalore,3.6,205,562, Free Wi-Fi  Power backup  CCTV cameras  
Capital O 75993 Hotel Shanti Nivas,8.3,"Near Yeshwanthpur , Sri Raghavendra Layout",Bangalore,4.3,1149,905, TV 
SPOT ON 73621 Srinivasa Boarding And Lodging,8.5,"Near N R Colony, Sajjepalya",Bangalore,3.3,321,608, Free Wi-Fi  Power backup  Security  
Townhouse OAK Hotel Prime,8.2,"Near Karnataka Bank, Babusapalya Main Road",Bangalore,4.5,1189,1677, Reception  Free Wi-Fi  Power backup  
OYO 62331 Gn Collection O,6.3,"Centrally Located, Near A D Halli Park, Housing Board",Bangalore,3.9,685,934, Free Wi-Fi  TV  TV  
Capital O 432 Hotel Victoria Heights,2.1,"Near St.Philomena's Hospital, Xavier Layout",Bangalore,3.9,915,1165, Parking facility  Doctor on call  Reception  
SPOT ON 80454 Janapriya Lodge,7,Bangalore Urban,Bangalore,3.7,435,774, Hair Dryer  Reception  Free Wi-Fi  
OYO 80376 Santa Maria,6.8,Jeevan Bhima Nagar,Bangalore,3.8,680,965, Parking facility  Reception  Free Wi-Fi  
Capital O 46356 White Mg,2.6,"Near INOX Lido Mall, Ulsoor",Bangalore,4.5,92,3604, Parking facility  Reception  Free Wi-Fi  
Collection O 2318 Hotel Palm Emirates,4.8,Tavarekere Main Rd,Bangalore,3.9,858,956, Parking facility  Reception  Free Wi-Fi  
Townhouse OAK Clove Boutique Hotel Rajaji Nagar,4,"4th Block, Rajaji Nagar",Bangalore,4.6,1390,2492, Parking facility  Private entrance  Elevator  
OYO Home 81332 Shiva Shakthi Inn,7.8,J P Nagar,Bangalore,3.9,1436,699, Parking facility  Reception  Free Wi-Fi  
Collection O 31939 CTC Gardenia Residency,2,India - ,Bangalore,5,90,1658, Parking facility  Reception  Free Wi-Fi  
OYO 9605 Hotel Golden Inn,2,"Centrally Located, Near HKP Road, Shivaji Nagar",Bangalore,3.7,1547,827, Parking facility  Elevator  Free Wi-Fi  
Capital O 87938 Royal Manyata,9.4,Gate Number 4,Bangalore,4.2,773,673, Reception  Ticket tour assistance  Designated smoking area  
Flagship 92604 Sp Residency,6.7,Btm 2nd Stage,Bangalore,2,87,685, Free Wi-Fi  TV  AC 
Capital O 700590 King Suites -hennur,8.4,East Zone,Bangalore,4.1,92,1030, Parking facility  Private entrance  Reception  
Capital O 5683 Ss Suites,8.3,Above Vishal Mega mart,Bangalore,4.2,1706,1265, AC  TV 
OYO Townhouse 500 Cbm Residency,8.5,H s r Layout,Bangalore,4.4,1122,2164, Elevator  Free Wi-Fi  Geyser  
 OYO Townhouse 149 Siri Residency,9.5,Bhuvaneswari Nagar,Bangalore,4.2,458,1003, Free Wi-Fi  Power backup  Card payment  
Flagship 13933 Varcity Pearl,5.4,"Near Forum Mall, Koramangala",Bangalore,3.9,3691,1081, Free Wi-Fi  Power backup  Security  
Capital O 70991 Prime Square,7.6,"Centrally Located, Near Kalyan Nagar Bus Stand, 1st stage",Bangalore,4,754,1795, Doctor on call  Private entrance  Reception  
Townhouse OAK SRK White Inn,5.9,Koramangala,Bangalore,3.7,1622,1627, Parking facility  Reception  Free Wi-Fi  
OYO 72404 Naidu Palace,5.2,"Near Dhobi Ghat junction, Rajajinagar",Bangalore,4,606,1172, Cot  Power backup  Bedside Table / Desk  
Collection O 27065 Eden Au Lac,5,"Near Indiranagar Police Station, Indiranagar",Bangalore,4.2,1363,1470, Parking facility  Reception  Free Wi-Fi  
OYO 10527 Corner Golf View,5.6,Domlur,Bangalore,3.3,576,925, Reception  Power backup  Refrigerator  
OYO 87519 Nra Residency,9.1,Rajarajeshwari Nagar,Bangalore,3.5,346,1014, Parking facility  Reception  Free Wi-Fi  
Townhouse OAK Grand Regency,5.3,"Near Varrier Bakery, Rajaji Nagar",Bangalore,4.5,9,2396, Parking facility  Cot  Free Wi-Fi  
Capital O 88646 Sri Sapthagiri Comforts,7.5,India,Bangalore,3.5,136,687, Doctor on call  Parking facility  Reception  
OYO 13121 Sai Kuteer,8.2,"Near MG school, Bilekahalli ",Bangalore,3.5,158,641, Private entrance  Reception  Power backup  
OYO 3664 Hotel Shivaals Residency,5.1,Rajajinagar,Bangalore,3.8,207,891, Elevator  Free Wi-Fi  Geyser  
Collection O 62387 Emara Grand Hotel,7.9,H s r Layout,Bangalore,4,38,1986, Elevator  Free Wi-Fi  Geyser  
OYO Flagship 702689 Hotel Gurudev Residency,2.7,India,Bangalore,3.3,134,906, Reception  Power backup  24/7 check-in  
OYO Flagship 14799 NR Residency,7.2,"Near Teacher's colony Park, Jakkasandra",Bangalore,3.3,269,814, Parking facility  Reception  Free Wi-Fi  
Capital O 67657 Gn Suites,7.4,"Near Sub Registrar Office, Banaswadi",Bangalore,3.6,866,845, Parking facility  Reception  Free Wi-Fi  
OYO Townhouse 038 Banaswadi 100Ft Road,8.1,Bangalore,Bangalore,3.6,846,1605, Elevator  Geyser  Power backup  
Collection O 75506 Hotel Palmtree,3.9,"Near Halasuru Metro Station, Ulsoor",Bangalore,4.2,1315,1868, Elevator  Free Wi-Fi  Geyser  
OYO Flagship 804645 Haven Comforts,7.3,Yeswantpur near Railway station,Bangalore,4,55,772, Elevator  Geyser  Power backup  
